Měna: USD|Množství: 1
Datum|Kurz
04.01.2021|21,259
05.01.2021|21,369
06.01.2021|21,191
07.01.2021|21,299
08.01.2021|21,359
11.01.2021|21,574
12.01.2021|21,535
13.01.2021|21,515
14.01.2021|21,604
15.01.2021|21,577
18.01.2021|21,706
19.01.2021|21,562
20.01.2021|21,594
21.01.2021|21,461
22.01.2021|21,509
25.01.2021|21,463
26.01.2021|21,479
27.01.2021|21,484
28.01.2021|21,600
29.01.2021|21,442
01.02.2021|21,489
02.02.2021|21,506
03.02.2021|21,579
04.02.2021|21,587
05.02.2021|21,534
08.02.2021|21,401
09.02.2021|21,263
10.02.2021|21,301
11.02.2021|21,219
12.02.2021|21,271
15.02.2021|21,168
16.02.2021|21,209
17.02.2021|21,465
18.02.2021|21,400
19.02.2021|21,291
22.02.2021|21,394
23.02.2021|21,334
24.02.2021|21,387
25.02.2021|21,352
26.02.2021|21,612
01.03.2021|21,640
02.03.2021|21,733
03.03.2021|21,688
04.03.2021|21,774
05.03.2021|22,034
08.03.2021|22,264
09.03.2021|22,109
10.03.2021|22,051
11.03.2021|21,874
12.03.2021|21,912
15.03.2021|21,974
16.03.2021|21,973
17.03.2021|21,966
18.03.2021|21,969
19.03.2021|21,975
22.03.2021|21,863
23.03.2021|22,045
24.03.2021|22,162
25.03.2021|22,227
26.03.2021|22,139
29.03.2021|22,131
30.03.2021|22,249
31.03.2021|22,295
01.04.2021|22,206
06.04.2021|22,054
07.04.2021|21,813
08.04.2021|21,796
09.04.2021|21,821
12.04.2021|21,860
13.04.2021|21,871
14.04.2021|21,677
15.04.2021|21,669
16.04.2021|21,633
19.04.2021|21,520
20.04.2021|21,500
21.04.2021|21,563
22.04.2021|21,469
23.04.2021|21,421
26.04.2021|21,353
27.04.2021|21,425
28.04.2021|21,509
29.04.2021|21,281
30.04.2021|21,428
03.05.2021|21,410
04.05.2021|21,499
05.05.2021|21,487
06.05.2021|21,431
07.05.2021|21,295
10.05.2021|21,027
11.05.2021|21,015
12.05.2021|21,063
13.05.2021|21,172
14.05.2021|21,024
17.05.2021|20,996
18.05.2021|20,808
19.05.2021|20,835
20.05.2021|20,908
21.05.2021|20,879
24.05.2021|20,826
25.05.2021|20,749
26.05.2021|20,812
27.05.2021|20,857
28.05.2021|20,965
31.05.2021|20,858
01.06.2021|20,830
02.06.2021|20,894
03.06.2021|20,900
04.06.2021|20,997
07.06.2021|20,882
08.06.2021|20,853
09.06.2021|20,806
10.06.2021|20,859
11.06.2021|20,899
14.06.2021|20,984
15.06.2021|21,017
16.06.2021|21,011
17.06.2021|21,371
18.06.2021|21,450
21.06.2021|21,503
22.06.2021|21,463
23.06.2021|21,264
24.06.2021|21,300
25.06.2021|21,325
28.06.2021|21,411
29.06.2021|21,435
30.06.2021|21,439
01.07.2021|21,462
02.07.2021|21,657
07.07.2021|21,714
08.07.2021|21,874
09.07.2021|21,757
12.07.2021|21,706
13.07.2021|21,656
14.07.2021|21,711
15.07.2021|21,664
16.07.2021|21,633
19.07.2021|21,759
20.07.2021|21,789
21.07.2021|21,828
22.07.2021|21,774
23.07.2021|21,795
26.07.2021|21,745
27.07.2021|21,749
28.07.2021|21,702
29.07.2021|21,482
30.07.2021|21,445
02.08.2021|21,433
03.08.2021|21,441
04.08.2021|21,430
05.08.2021|21,452
06.08.2021|21,520
09.08.2021|21,590
10.08.2021|21,652
11.08.2021|21,679
12.08.2021|21,636
13.08.2021|21,579
16.08.2021|21,599
17.08.2021|21,622
18.08.2021|21,700
19.08.2021|21,800
20.08.2021|21,896
23.08.2021|21,772
24.08.2021|21,741
25.08.2021|21,742
26.08.2021|21,708
27.08.2021|21,732
30.08.2021|21,665
31.08.2021|21,569
01.09.2021|21,492
02.09.2021|21,425
03.09.2021|21,412
06.09.2021|21,408
07.09.2021|21,434
08.09.2021|21,471
09.09.2021|21,457
10.09.2021|21,358
13.09.2021|21,520
14.09.2021|21,492
15.09.2021|21,412
16.09.2021|21,493
17.09.2021|21,474
20.09.2021|21,713
21.09.2021|21,643
22.09.2021|21,638
23.09.2021|21,641
24.09.2021|21,683
27.09.2021|21,755
29.09.2021|21,844
30.09.2021|22,020
01.10.2021|21,819
04.10.2021|21,760
05.10.2021|21,817
06.10.2021|22,025
07.10.2021|21,975
08.10.2021|21,989
11.10.2021|21,945
12.10.2021|21,961
13.10.2021|21,944
14.10.2021|21,882
15.10.2021|21,896
18.10.2021|21,934
19.10.2021|21,883
20.10.2021|21,955
21.10.2021|22,012
22.10.2021|22,059
25.10.2021|22,178
26.10.2021|22,127
27.10.2021|22,106
29.10.2021|22,065
01.11.2021|22,141
02.11.2021|22,037
03.11.2021|22,064
04.11.2021|22,022
05.11.2021|21,936
08.11.2021|21,808
09.11.2021|21,761
10.11.2021|21,815
11.11.2021|22,038
12.11.2021|22,048
15.11.2021|22,033
16.11.2021|22,189
18.11.2021|22,238
19.11.2021|22,549
22.11.2021|22,501
23.11.2021|22,600
24.11.2021|22,758
25.11.2021|22,701
26.11.2021|22,733
29.11.2021|22,762
30.11.2021|22,465
01.12.2021|22,488
02.12.2021|22,418
03.12.2021|22,509
06.12.2021|22,521
07.12.2021|22,624
08.12.2021|22,544
09.12.2021|22,490
10.12.2021|22,500
13.12.2021|22,526
14.12.2021|22,404
15.12.2021|22,438
16.12.2021|22,296
17.12.2021|22,299
20.12.2021|22,379
21.12.2021|22,348
22.12.2021|22,340
23.12.2021|22,178
27.12.2021|22,225
28.12.2021|22,050
29.12.2021|22,079
30.12.2021|21,986
31.12.2021|21,951
