Měna: USD|Množství: 1
Datum|Kurz
02.01.2025|24,398
03.01.2025|24,427
06.01.2025|24,137
07.01.2025|24,176
08.01.2025|24,429
09.01.2025|24,368
10.01.2025|24,343
13.01.2025|24,735
14.01.2025|24,672
15.01.2025|24,487
16.01.2025|24,558
17.01.2025|24,542
20.01.2025|24,427
21.01.2025|24,301
22.01.2025|24,075
23.01.2025|24,174
24.01.2025|23,958
27.01.2025|23,860
28.01.2025|24,068
29.01.2025|24,175
30.01.2025|24,140
31.01.2025|24,214
03.02.2025|24,557
04.02.2025|24,349
05.02.2025|24,129
06.02.2025|24,259
07.02.2025|24,193
10.02.2025|24,282
11.02.2025|24,323
12.02.2025|24,181
13.02.2025|24,111
14.02.2025|23,906
17.02.2025|23,930
18.02.2025|24,016
19.02.2025|24,065
20.02.2025|24,008
21.02.2025|23,972
24.02.2025|23,934
25.02.2025|23,758
26.02.2025|23,784
27.02.2025|23,849
28.02.2025|24,034
03.03.2025|23,986
04.03.2025|23,733
05.03.2025|23,440
06.03.2025|23,183
07.03.2025|23,038
10.03.2025|22,992
11.03.2025|22,874
12.03.2025|22,959
13.03.2025|23,185
14.03.2025|22,963
17.03.2025|22,968
18.03.2025|22,935
19.03.2025|22,939
20.03.2025|23,082
21.03.2025|23,061
24.03.2025|23,068
25.03.2025|22,988
26.03.2025|23,117
27.03.2025|23,170
28.03.2025|23,127
31.03.2025|23,079
01.04.2025|23,146
02.04.2025|23,106
03.04.2025|22,535
04.04.2025|22,762
07.04.2025|23,002
08.04.2025|22,948
09.04.2025|22,776
10.04.2025|22,635
11.04.2025|22,162
14.04.2025|22,072
15.04.2025|22,114
16.04.2025|22,030
17.04.2025|22,024
22.04.2025|21,849
23.04.2025|21,916
24.04.2025|21,964
25.04.2025|21,950
28.04.2025|21,975
29.04.2025|21,909
30.04.2025|21,905
02.05.2025|21,981
05.05.2025|21,955
06.05.2025|22,031
07.05.2025|21,942
09.05.2025|22,162
12.05.2025|22,495
13.05.2025|22,451
14.05.2025|22,231
15.05.2025|22,279
16.05.2025|22,274
19.05.2025|22,108
20.05.2025|22,175
21.05.2025|21,967
22.05.2025|22,044
23.05.2025|22,028
26.05.2025|21,855
27.05.2025|21,933
28.05.2025|22,030
29.05.2025|22,078
30.05.2025|21,967
02.06.2025|21,825
03.06.2025|21,872
04.06.2025|21,763
05.06.2025|21,723
06.06.2025|21,695
09.06.2025|21,732
10.06.2025|21,684
11.06.2025|21,667
12.06.2025|21,377
13.06.2025|21,570
16.06.2025|21,417
17.06.2025|21,435
18.06.2025|21,548
19.06.2025|21,635
20.06.2025|21,555
23.06.2025|21,675
24.06.2025|21,366
25.06.2025|21,358
26.06.2025|21,183
27.06.2025|21,122
30.06.2025|21,127
01.07.2025|20,904
02.07.2025|20,954
03.07.2025|20,917
04.07.2025|20,955
07.07.2025|20,998
08.07.2025|21,037
09.07.2025|21,046
10.07.2025|21,033
11.07.2025|21,109
14.07.2025|21,089
15.07.2025|21,139
16.07.2025|21,248
17.07.2025|21,274
18.07.2025|21,124
21.07.2025|21,100
22.07.2025|21,054
23.07.2025|20,988
24.07.2025|20,884
25.07.2025|20,931
28.07.2025|21,107
29.07.2025|21,331
30.07.2025|21,328
31.07.2025|21,468
01.08.2025|21,566
04.08.2025|21,254
05.08.2025|21,323
06.08.2025|21,175
07.08.2025|21,065
08.08.2025|20,993
11.08.2025|21,078
12.08.2025|21,086
13.08.2025|20,885
14.08.2025|20,936
15.08.2025|20,941
18.08.2025|20,964
19.08.2025|20,927
20.08.2025|21,019
21.08.2025|21,075
22.08.2025|21,163
25.08.2025|20,988
26.08.2025|21,059
27.08.2025|21,172
28.08.2025|21,033
29.08.2025|20,967
01.09.2025|20,867
02.09.2025|21,033
03.09.2025|20,968
04.09.2025|20,988
05.09.2025|20,880
08.09.2025|20,768
09.09.2025|20,713
10.09.2025|20,852
11.09.2025|20,869
12.09.2025|20,749
15.09.2025|20,673
16.09.2025|20,609
17.09.2025|20,555
18.09.2025|20,563
19.09.2025|20,691
22.09.2025|20,582
23.09.2025|20,552
24.09.2025|20,657
25.09.2025|20,701
26.09.2025|20,839
29.09.2025|20,726
30.09.2025|20,727
01.10.2025|20,721
02.10.2025|20,618
03.10.2025|20,683
06.10.2025|20,809
07.10.2025|20,855
08.10.2025|20,945
09.10.2025|20,948
10.10.2025|20,999
13.10.2025|21,046
14.10.2025|21,039
15.10.2025|20,890
16.10.2025|20,847
17.10.2025|20,819
20.10.2025|20,839
21.10.2025|20,948
22.10.2025|20,978
23.10.2025|20,968
24.10.2025|20,959
27.10.2025|20,897
29.10.2025|20,908
30.10.2025|21,095
31.10.2025|21,062
03.11.2025|21,142
04.11.2025|21,211
05.11.2025|21,216
06.11.2025|21,106
07.11.2025|21,045
10.11.2025|20,983
11.11.2025|20,977
12.11.2025|20,935
13.11.2025|20,817
14.11.2025|20,786
18.11.2025|20,867
19.11.2025|20,844
20.11.2025|21,001
21.11.2025|21,048
24.11.2025|20,935
25.11.2025|20,897
26.11.2025|20,874
27.11.2025|20,865
28.11.2025|20,895
01.12.2025|20,774
02.12.2025|20,796
03.12.2025|20,660
04.12.2025|20,708
05.12.2025|20,786
08.12.2025|20,823
09.12.2025|20,873
10.12.2025|20,844
11.12.2025|20,674
12.12.2025|20,664
15.12.2025|20,670
16.12.2025|20,652
17.12.2025|20,777
18.12.2025|20,804
19.12.2025|20,776
22.12.2025|20,699
23.12.2025|20,631
29.12.2025|20,633
30.12.2025|20,623
31.12.2025|20,632
