Měna: USD|Množství: 1
Datum|Kurz
02.01.2023|22,630
03.01.2023|22,878
04.01.2023|22,672
05.01.2023|22,676
06.01.2023|22,911
09.01.2023|22,430
10.01.2023|22,368
11.01.2023|22,357
12.01.2023|22,312
13.01.2023|22,206
16.01.2023|22,191
17.01.2023|22,100
18.01.2023|22,103
19.01.2023|22,120
20.01.2023|22,097
23.01.2023|21,971
24.01.2023|21,987
25.01.2023|21,888
26.01.2023|21,866
27.01.2023|21,929
30.01.2023|21,880
31.01.2023|21,961
01.02.2023|21,797
02.02.2023|21,657
03.02.2023|21,694
06.02.2023|22,126
07.02.2023|22,271
08.02.2023|22,152
09.02.2023|21,997
10.02.2023|22,161
13.02.2023|22,216
14.02.2023|22,079
15.02.2023|22,117
16.02.2023|22,136
17.02.2023|22,318
20.02.2023|22,197
21.02.2023|22,252
22.02.2023|22,238
23.02.2023|22,309
24.02.2023|22,369
27.02.2023|22,380
28.02.2023|22,123
01.03.2023|21,920
02.03.2023|22,145
03.03.2023|22,148
06.03.2023|22,112
07.03.2023|22,031
08.03.2023|22,379
09.03.2023|22,378
10.03.2023|22,325
13.03.2023|22,179
14.03.2023|22,155
15.03.2023|22,696
16.03.2023|22,660
17.03.2023|22,545
20.03.2023|22,380
21.03.2023|22,125
22.03.2023|21,998
23.03.2023|21,748
24.03.2023|22,037
27.03.2023|22,030
28.03.2023|21,827
29.03.2023|21,785
30.03.2023|21,633
31.03.2023|21,598
03.04.2023|21,571
04.04.2023|21,478
05.04.2023|21,395
06.04.2023|21,450
11.04.2023|21,518
12.04.2023|21,439
13.04.2023|21,128
14.04.2023|21,110
17.04.2023|21,270
18.04.2023|21,312
19.04.2023|21,463
20.04.2023|21,479
21.04.2023|21,448
24.04.2023|21,312
25.04.2023|21,294
26.04.2023|21,287
27.04.2023|21,287
28.04.2023|21,411
02.05.2023|21,522
03.05.2023|21,360
04.05.2023|21,171
05.05.2023|21,248
09.05.2023|21,311
10.05.2023|21,384
11.05.2023|21,491
12.05.2023|21,678
15.05.2023|21,671
16.05.2023|21,758
17.05.2023|21,826
18.05.2023|21,889
19.05.2023|21,979
22.05.2023|21,877
23.05.2023|21,962
24.05.2023|21,948
25.05.2023|22,024
26.05.2023|21,991
29.05.2023|22,117
30.05.2023|22,076
31.05.2023|22,219
01.06.2023|22,154
02.06.2023|21,982
05.06.2023|22,049
06.06.2023|22,027
07.06.2023|22,060
08.06.2023|22,005
09.06.2023|21,955
12.06.2023|22,066
13.06.2023|22,059
14.06.2023|22,004
15.06.2023|21,930
16.06.2023|21,723
19.06.2023|21,771
20.06.2023|21,715
21.06.2023|21,758
22.06.2023|21,546
23.06.2023|21,734
26.06.2023|21,668
27.06.2023|21,550
28.06.2023|21,668
29.06.2023|21,669
30.06.2023|21,831
03.07.2023|21,758
04.07.2023|21,740
07.07.2023|21,997
10.07.2023|21,764
11.07.2023|21,703
12.07.2023|21,611
13.07.2023|21,243
14.07.2023|21,192
17.07.2023|21,154
18.07.2023|21,178
19.07.2023|21,324
20.07.2023|21,399
21.07.2023|21,618
24.07.2023|21,781
25.07.2023|21,754
26.07.2023|21,747
27.07.2023|21,622
28.07.2023|21,815
31.07.2023|21,695
01.08.2023|21,849
02.08.2023|21,809
03.08.2023|21,969
04.08.2023|22,180
07.08.2023|22,074
08.08.2023|22,154
09.08.2023|22,159
10.08.2023|21,990
11.08.2023|21,907
14.08.2023|21,995
15.08.2023|22,094
16.08.2023|22,060
17.08.2023|22,089
18.08.2023|22,121
21.08.2023|22,032
22.08.2023|22,045
23.08.2023|22,327
24.08.2023|22,264
25.08.2023|22,323
28.08.2023|22,338
29.08.2023|22,367
30.08.2023|22,123
31.08.2023|22,130
01.09.2023|22,254
04.09.2023|22,319
05.09.2023|22,510
06.09.2023|22,548
07.09.2023|22,763
08.09.2023|22,856
11.09.2023|22,871
12.09.2023|22,951
13.09.2023|22,829
14.09.2023|22,831
15.09.2023|22,996
18.09.2023|22,892
19.09.2023|22,800
20.09.2023|22,803
21.09.2023|22,985
22.09.2023|22,897
25.09.2023|22,933
26.09.2023|23,032
27.09.2023|23,214
29.09.2023|22,967
02.10.2023|23,227
03.10.2023|23,384
04.10.2023|23,229
05.10.2023|23,204
06.10.2023|23,146
09.10.2023|23,248
10.10.2023|23,212
11.10.2023|23,149
12.10.2023|23,128
13.10.2023|23,443
16.10.2023|23,414
17.10.2023|23,280
18.10.2023|23,354
19.10.2023|23,353
20.10.2023|23,337
23.10.2023|23,250
24.10.2023|23,196
25.10.2023|23,345
26.10.2023|23,448
27.10.2023|23,408
30.10.2023|23,178
31.10.2023|23,135
01.11.2023|23,443
02.11.2023|23,096
03.11.2023|22,809
06.11.2023|22,781
07.11.2023|23,062
08.11.2023|23,125
09.11.2023|22,968
10.11.2023|22,957
13.11.2023|23,050
14.11.2023|22,899
15.11.2023|22,542
16.11.2023|22,547
20.11.2023|22,460
21.11.2023|22,373
22.11.2023|22,449
23.11.2023|22,353
24.11.2023|22,366
27.11.2023|22,244
28.11.2023|22,260
29.11.2023|22,089
30.11.2023|22,213
01.12.2023|22,389
04.12.2023|22,442
05.12.2023|22,523
06.12.2023|22,587
07.12.2023|22,616
08.12.2023|22,601
11.12.2023|22,663
12.12.2023|22,597
13.12.2023|22,698
14.12.2023|22,378
15.12.2023|22,364
18.12.2023|22,490
19.12.2023|22,393
20.12.2023|22,417
21.12.2023|22,300
22.12.2023|22,308
27.12.2023|22,299
28.12.2023|22,239
29.12.2023|22,376
