Měna: USD|Množství: 1
Datum|Kurz
02.01.2024|22,526
03.01.2024|22,600
04.01.2024|22,513
05.01.2024|22,523
08.01.2024|22,366
09.01.2024|22,472
10.01.2024|22,427
11.01.2024|22,440
12.01.2024|22,554
15.01.2024|22,579
16.01.2024|22,720
17.01.2024|22,760
18.01.2024|22,758
19.01.2024|22,793
22.01.2024|22,749
23.01.2024|22,849
24.01.2024|22,726
25.01.2024|22,730
26.01.2024|22,752
29.01.2024|22,934
30.01.2024|22,907
31.01.2024|22,935
01.02.2024|23,019
02.02.2024|22,853
05.02.2024|23,269
06.02.2024|23,208
07.02.2024|23,181
08.02.2024|23,195
09.02.2024|23,373
12.02.2024|23,407
13.02.2024|23,420
14.02.2024|23,663
15.02.2024|23,651
16.02.2024|23,646
19.02.2024|23,627
20.02.2024|23,531
21.02.2024|23,480
22.02.2024|23,354
23.02.2024|23,394
26.02.2024|23,376
27.02.2024|23,337
28.02.2024|23,442
29.02.2024|23,427
01.03.2024|23,428
04.03.2024|23,377
05.03.2024|23,371
06.03.2024|23,320
07.03.2024|23,279
08.03.2024|23,139
11.03.2024|23,177
12.03.2024|23,152
13.03.2024|23,099
14.03.2024|23,042
15.03.2024|23,093
18.03.2024|23,143
19.03.2024|23,279
20.03.2024|23,315
21.03.2024|23,155
22.03.2024|23,441
25.03.2024|23,315
26.03.2024|23,278
27.03.2024|23,408
28.03.2024|23,413
02.04.2024|23,595
03.04.2024|23,514
04.04.2024|23,322
05.04.2024|23,324
08.04.2024|23,423
09.04.2024|23,353
10.04.2024|23,354
11.04.2024|23,666
12.04.2024|23,782
15.04.2024|23,768
16.04.2024|23,713
17.04.2024|23,714
18.04.2024|23,663
19.04.2024|23,707
22.04.2024|23,761
23.04.2024|23,672
24.04.2024|23,616
25.04.2024|23,470
26.04.2024|23,481
29.04.2024|23,482
30.04.2024|23,453
02.05.2024|23,448
03.05.2024|23,283
06.05.2024|23,189
07.05.2024|23,223
09.05.2024|23,239
10.05.2024|23,131
13.05.2024|22,948
14.05.2024|22,926
15.05.2024|22,861
16.05.2024|22,745
17.05.2024|22,791
20.05.2024|22,792
21.05.2024|22,717
22.05.2024|22,855
23.05.2024|22,795
24.05.2024|22,807
27.05.2024|22,799
28.05.2024|22,650
29.05.2024|22,775
30.05.2024|22,905
31.05.2024|22,765
03.06.2024|22,798
04.06.2024|22,789
05.06.2024|22,680
06.06.2024|22,670
07.06.2024|22,559
10.06.2024|22,901
11.06.2024|23,022
12.06.2024|22,940
13.06.2024|22,902
14.06.2024|23,154
17.06.2024|23,056
18.06.2024|23,115
19.06.2024|23,151
20.06.2024|23,224
21.06.2024|23,341
24.06.2024|23,196
25.06.2024|23,164
26.06.2024|23,296
27.06.2024|23,299
28.06.2024|23,386
01.07.2024|23,315
02.07.2024|23,481
03.07.2024|23,425
04.07.2024|23,282
08.07.2024|23,215
09.07.2024|23,338
10.07.2024|23,443
11.07.2024|23,365
12.07.2024|23,267
15.07.2024|23,314
16.07.2024|23,264
17.07.2024|23,125
18.07.2024|23,131
19.07.2024|23,195
22.07.2024|23,185
23.07.2024|23,366
24.07.2024|23,453
25.07.2024|23,385
26.07.2024|23,368
29.07.2024|23,454
30.07.2024|23,487
31.07.2024|23,509
01.08.2024|23,595
02.08.2024|23,317
05.08.2024|23,051
06.08.2024|23,187
07.08.2024|23,142
08.08.2024|23,117
09.08.2024|23,120
12.08.2024|23,060
13.08.2024|23,055
14.08.2024|22,873
15.08.2024|22,885
16.08.2024|22,961
19.08.2024|22,800
20.08.2024|22,701
21.08.2024|22,581
22.08.2024|22,543
23.08.2024|22,544
26.08.2024|22,421
27.08.2024|22,434
28.08.2024|22,541
29.08.2024|22,579
30.08.2024|22,577
02.09.2024|22,646
03.09.2024|22,711
04.09.2024|22,708
05.09.2024|22,536
06.09.2024|22,542
09.09.2024|22,682
10.09.2024|22,706
11.09.2024|22,724
12.09.2024|22,796
13.09.2024|22,682
16.09.2024|22,590
17.09.2024|22,550
18.09.2024|22,537
19.09.2024|22,483
20.09.2024|22,459
23.09.2024|22,597
24.09.2024|22,585
25.09.2024|22,440
26.09.2024|22,550
27.09.2024|22,547
30.09.2024|22,495
01.10.2024|22,810
02.10.2024|22,867
03.10.2024|22,968
04.10.2024|22,982
07.10.2024|23,082
08.10.2024|23,052
09.10.2024|23,135
10.10.2024|23,160
11.10.2024|23,123
14.10.2024|23,146
15.10.2024|23,146
16.10.2024|23,212
17.10.2024|23,244
18.10.2024|23,255
21.10.2024|23,279
22.10.2024|23,324
23.10.2024|23,446
24.10.2024|23,345
25.10.2024|23,331
29.10.2024|23,551
30.10.2024|23,466
31.10.2024|23,278
01.11.2024|23,280
04.11.2024|23,179
05.11.2024|23,254
06.11.2024|23,668
07.11.2024|23,406
08.11.2024|23,417
11.11.2024|23,792
12.11.2024|23,912
13.11.2024|23,808
14.11.2024|24,019
15.11.2024|23,891
18.11.2024|23,970
19.11.2024|23,912
20.11.2024|23,949
21.11.2024|24,057
22.11.2024|24,337
25.11.2024|24,093
26.11.2024|24,043
27.11.2024|23,996
28.11.2024|23,960
29.11.2024|23,922
02.12.2024|24,048
03.12.2024|23,991
04.12.2024|24,009
05.12.2024|23,851
06.12.2024|23,724
09.12.2024|23,756
10.12.2024|23,856
11.12.2024|23,900
12.12.2024|23,906
13.12.2024|23,788
16.12.2024|23,851
17.12.2024|23,872
18.12.2024|23,943
19.12.2024|24,150
20.12.2024|24,168
23.12.2024|24,218
27.12.2024|24,157
30.12.2024|24,168
31.12.2024|24,237
